日期,星期,星期名,品类,WD90,WIN7,YOY,BLEND,窗7日均,近90日均
2023-07-01,5,六,花叶类,212.78991666666664,124.84685714285716,149.719,161.35593638883972,124.84685714285716,164.6431666666667
2023-07-01,5,六,花菜类,30.849083333333336,16.158142857142856,28.897,21.996704347622348,16.158142857142856,22.660844444444443
2023-07-01,5,六,水生根茎类,21.826166666666666,16.671714285714287,15.086,22.681503621663072,16.671714285714287,16.043011111111113
2023-07-01,5,六,茄类,31.694083333333328,19.002142857142854,17.165,25.842539394754027,19.002142857142854,23.30481111111111
2023-07-01,5,六,辣椒类,134.00966666666667,77.58328571428571,25.326,109.00611782623075,77.58328571428571,95.37914444444442
2023-07-01,5,六,食用菌,102.63391666666666,44.19557142857143,50.953,65.55278941198159,44.19557142857143,69.19560000000001
2023-07-02,6,日,花叶类,206.84415384615386,124.84685714285716,195.295,156.84733869549765,124.84685714285716,164.6431666666667
2023-07-02,6,日,花菜类,29.99838461538462,16.158142857142856,55.851,21.3901200940345,16.158142857142856,22.660844444444443
2023-07-02,6,日,水生根茎类,19.61223076923077,16.671714285714287,28.667,20.38080667186327,16.671714285714287,16.043011111111113
2023-07-02,6,日,茄类,32.99261538461538,19.002142857142854,27.475,26.901328990833438,19.002142857142854,23.30481111111111
2023-07-02,6,日,辣椒类,128.00276923076925,77.58328571428571,55.999,104.1199884450106,77.58328571428571,95.37914444444442
2023-07-02,6,日,食用菌,89.12538461538462,44.19557142857143,45.704,56.92482328165564,44.19557142857143,69.19560000000001
2023-07-03,0,一,花叶类,143.48453846153845,124.84685714285716,188.672,108.80253361370285,124.84685714285716,164.6431666666667
2023-07-03,0,一,花菜类,17.95753846153846,16.158142857142856,47.944,12.804486281856624,16.158142857142856,22.660844444444443
2023-07-03,0,一,水生根茎类,13.367538461538462,16.671714285714287,63.873000000000005,13.891393603767881,16.671714285714287,16.043011111111113
2023-07-03,0,一,茄类,21.692384615384615,19.002142857142854,42.368,17.687411814168257,19.002142857142854,23.30481111111111
2023-07-03,0,一,辣椒类,82.8976923076923,77.58328571428571,58.67,67.43062526744286,77.58328571428571,95.37914444444442
2023-07-03,0,一,食用菌,56.948076923076925,44.19557142857143,42.18,36.373017957408074,44.19557142857143,69.19560000000001
2023-07-04,1,二,花叶类,159.05207692307692,124.84685714285716,116.605,120.60720361442337,124.84685714285716,164.6431666666667
2023-07-04,1,二,花菜类,18.248230769230766,16.158142857142856,27.955000000000002,13.011762221933799,16.158142857142856,22.660844444444443
2023-07-04,1,二,水生根茎类,12.531230769230772,16.671714285714287,20.219,13.022312182298167,16.671714285714287,16.043011111111113
2023-07-04,1,二,茄类,19.23130769230769,19.002142857142854,17.802,15.680713066353535,19.002142857142854,23.30481111111111
2023-07-04,1,二,辣椒类,81.08699999999999,77.58328571428571,47.458,65.95777227146975,77.58328571428571,95.37914444444442
2023-07-04,1,二,食用菌,57.39107692307691,44.19557142857143,36.688,36.65596424507458,44.19557142857143,69.19560000000001
2023-07-05,2,三,花叶类,152.461,124.84685714285716,133.21,115.60927229608969,124.84685714285716,164.6431666666667
2023-07-05,2,三,花菜类,20.62692307692308,16.158142857142856,42.64,14.70787068846105,16.158142857142856,22.660844444444443
2023-07-05,2,三,水生根茎类,13.526461538461538,16.671714285714287,34.508,14.056544653874248,16.671714285714287,16.043011111111113
2023-07-05,2,三,茄类,19.080076923076923,19.002142857142854,17.524,15.557403391470627,19.002142857142854,23.30481111111111
2023-07-05,2,三,辣椒类,80.31323076923078,77.58328571428571,49.728,65.32837304947677,77.58328571428571,95.37914444444442
2023-07-05,2,三,食用菌,60.62723076923078,44.19557142857143,50.367,38.72291168770878,44.19557142857143,69.19560000000001
2023-07-06,3,四,花叶类,129.34415384615386,124.84685714285716,164.461,98.08005655155952,124.84685714285716,164.6431666666667
2023-07-06,3,四,花菜类,19.76461538461539,16.158142857142856,31.186,14.09300874396115,16.158142857142856,22.660844444444443
2023-07-06,3,四,水生根茎类,14.427615384615386,16.671714285714287,39.018,14.993013459293467,16.671714285714287,16.043011111111113
2023-07-06,3,四,茄类,17.512615384615387,19.002142857142854,9.038,14.279335616755978,19.002142857142854,23.30481111111111
2023-07-06,3,四,辣椒类,78.23015384615385,77.58328571428571,51.119,63.63395701094701,77.58328571428571,95.37914444444442
2023-07-06,3,四,食用菌,53.64723076923077,44.19557142857143,32.226,34.26475121838083,44.19557142857143,69.19560000000001
2023-07-07,4,五,花叶类,152.2299230769231,124.84685714285716,134.044,115.43404955111659,124.84685714285716,164.6431666666667
2023-07-07,4,五,花菜类,21.811,16.158142857142856,50.962,15.55216773678281,16.158142857142856,22.660844444444443
2023-07-07,4,五,水生根茎类,17.45469230769231,16.671714285714287,43.066,18.138717294620573,16.671714285714287,16.043011111111113
2023-07-07,4,五,茄类,21.57592307692308,19.002142857142854,14.602,17.592452074711126,19.002142857142854,23.30481111111111
2023-07-07,4,五,辣椒类,86.08507692307693,77.58328571428571,39.874,70.02330706111047,77.58328571428571,95.37914444444442
2023-07-07,4,五,食用菌,66.56846153846155,44.19557142857143,29.189,42.517605119591224,44.19557142857143,69.19560000000001
