单品编码,单品名称,分类名称,需求_7_1,补货,售价,批发,加成,损耗率,收益代理,抬到2.5
102900005116899,净藕(1),水生根茎类,10.462853333365064,11.076490930939087,16.1436599273644,10.735533851697326,0.5037593984962405,0.0554,49.99670273662159,False
102900051000944,洪湖藕带,水生根茎类,7.002353387719573,9.21968846309358,26.0,18.0,0.4444444444444444,0.2405,16.1067957450245,False
102900011030059,云南生菜(份),花叶类,43.83449406172501,48.3984697601027,4.494716220892866,3.575796460176991,0.2569832402234637,0.0943,23.96053464770904,False
102900011030097,云南油麦菜(份),花叶类,28.899732810606316,31.9087256382978,4.514995072042052,2.869530201342282,0.5734265734265735,0.0943,38.9190993177792,False
102900005115786,竹叶菜,花叶类,18.053023025589287,20.89954043249512,3.769741991078825,2.327815679491174,0.6194331983805668,0.1362,19.40496105255492,False
102900005115762,苋菜,花叶类,12.11480678579383,14.868442299697875,3.972530688209273,2.3239304526024243,0.7094017094017095,0.1852,13.57321589526201,False
102900005118831,娃娃菜,花叶类,14.15892949781383,14.519000715559711,6.690673104036035,4.757260273972602,0.4064130862549834,0.0248,25.66210345105344,False
102900011030110,菠菜(份),花叶类,9.503938977984626,10.493473532057664,6.8080644364283245,4.134897959183673,0.6464891041162228,0.0943,21.31398666954896,False
102900011008164,奶白菜,花叶类,8.720154949208384,10.341739740522277,4.830883588115733,2.53621388376076,0.9047619047619048,0.1568,15.897189517803971,False
102900005115946,木耳菜,花叶类,8.05584901044109,8.719394967465192,5.9456363831670815,3.220553040882169,0.8461538461538463,0.0761,19.81587499665637,False
102900011023464,小青菜(1),花叶类,6.653921032219195,7.420453922403473,5.056714954533917,2.829815484171865,0.7869415807560136,0.1033,12.648466580709364,False
102900005119975,红薯尖,花叶类,6.118597122438837,6.681149948065994,5.256064160273885,3.153638496164332,0.6666666666666665,0.0842,11.089807371538456,False
102900005115823,上海青,花叶类,5.242489115019315,6.126550327240055,8.098380896625919,4.130174257279219,0.96078431372549,0.1442999999999999,17.151953252349294,False
102900005116714,西兰花,花菜类,17.09530178480019,18.83987412916045,12.502962841708952,7.762256097560976,0.6107382550335569,0.0926,67.50199514680057,False
102900011034026,枝江青梗散花,花菜类,4.90140256282216,5.41172856665801,13.662113896033771,8.977960560250764,0.5217391304347827,0.0943,18.37723442935016,False
102900005116257,紫茄子(2),茄类,15.835682681437094,16.8590255311797,5.890039515061238,3.730358359538784,0.5789473684210527,0.0607,30.3825899177214,False
102900011022764,长线茄,茄类,6.1211802251713285,6.574844495350514,11.974561443437752,6.985160842005356,0.7142857142857142,0.069,27.37210240147333,False
102900005116509,青茄子(1),茄类,3.885676488145604,4.090616368192024,5.950276870371992,4.085856784322101,0.4563106796116505,0.0501,6.4071782931246375,False
102900011031100,小米椒(份),辣椒类,32.40815266838829,35.78243642308523,5.907203791469194,2.149,1.7488151658767772,0.0943,114.54510644400564,False
102900011016701,芜湖青椒(1),辣椒类,21.526359219747995,22.827528334833502,5.059719892726455,3.366659774775679,0.5028901734104048,0.057,32.06482655969846,False
102900011032022,小皱皮(份),辣椒类,17.0682937386845,18.84541651615822,2.824880543214016,1.5234177215189872,0.8543046357615893,0.0943,19.506449398149407,False
102900011032251,螺丝椒(份),辣椒类,17.0682937386845,18.84541651615822,4.72021173762946,3.328354430379747,0.4181818181818182,0.0943,17.84173489273912,False
102900011032848,姜蒜小米椒组合装(小份),辣椒类,10.586663205006843,11.688929231541175,5.065288604712271,2.458775510204082,1.0600858369098711,0.0943,24.88405155922579,False
102900011000328,螺丝椒,辣椒类,10.348355255718626,11.521214936226482,11.877062439941206,7.561729753429233,0.5706806282722514,0.1018,35.787747743946795,False
106949711300259,金针菇(盒),食用菌,26.706175540719837,26.826896575308723,2.004638388770217,1.453362831858407,0.3793103448275863,0.0045,14.54701032949989,False
102900011034330,双孢菇(盒),食用菌,16.543648565047683,16.576802169386454,5.504159663865546,3.4025714285714286,0.6176470588235294,0.002,34.65512968626736,False
106971533450003,海鲜菇(包),食用菌,14.652945871899377,14.652945871899377,3.005210918114144,1.9533870967741933,0.5384615384615385,0.0,15.412317520868658,False
102900005115250,西峡花菇(1),食用菌,7.650019434314693,8.576254971204813,24.0,15.6,0.5384615384615385,0.108,49.810888872757545,False
