单品编码,单品名称,分类名称,net,days,rev,cost,日均,硬池,损耗率(%),六月有售,份装,周六比,品类需求,窗内品类份额,需求_7_1,损耗率,损耗_品类,批发,加成,加成_P50,售价,补货,可售,售出,收入,进货成本,收益代理,抬到2.5,方案
102900005115250,西峡花菇(1),食用菌,32.369,7,776.856,504.9564,4.624142857142857,True,10.8,True,False,1.5293828059152552,65.55278941198159,0.11670013592001989,7.650019434314693,0.10800000000000001,0.0945,15.6,0.5384615384615385,0.5384615384615385,24.0,8.576254971204813,7.650019434314693,7.650019434314693,183.60046642355263,133.7895775507951,49.810888872757545,False,硬池29
102900005115762,苋菜,花叶类,62.461,7,238.2022,145.15502,8.923,True,18.52,True,False,1.4683303697345025,161.35593638883972,0.07508125859465904,12.11480678579383,0.1852,0.1283,2.3239304526024243,0.7094017094017095,0.5209125475285172,3.9725306882092726,14.868442299697877,12.11480678579383,12.11480678579383,48.12644173829193,34.55322584302992,13.57321589526201,False,硬池29
102900005115786,竹叶菜,花叶类,93.077,7,350.438,216.6661,13.296714285714286,True,13.62,True,False,1.397854782432108,161.35593638883972,0.11188322803373434,18.053023025589287,0.1362,0.1283,2.327815679491174,0.6194331983805668,0.5209125475285172,3.7697419910788246,20.899540432495122,18.053023025589287,18.053023025589287,68.05523896547682,48.6502779129219,19.404961052554917,False,硬池29
102900005115823,上海青,花叶类,27.029,7,216.232,111.63448,3.861285714285714,True,14.43,True,False,1.4059163336937417,161.35593638883972,0.03249021531123484,5.242489115019315,0.14429999999999998,0.1283,4.130174257279219,0.9607843137254901,0.5209125475285172,8.098380896625919,6.1265503272400545,5.242489115019315,5.242489115019315,42.45567369984174,25.303720447492445,17.151953252349294,False,硬池29
102900005115946,木耳菜,花叶类,41.534,7,224.7282,133.76245,5.933428571428571,True,7.61,True,False,1.0249248552011494,161.35593638883972,0.049925953706642046,8.05584901044109,0.0761,0.1283,3.220553040882169,0.8461538461538463,0.5209125475285172,5.9456363831670815,8.719394967465192,8.05584901044109,8.05584901044109,47.897148973779075,28.081273977122706,19.81587499665637,False,硬池29
102900005116257,紫茄子(2),茄类,76.32,7,457.92,284.70095,10.902857142857142,True,6.07,True,False,1.3602347739825846,25.842539394754027,0.6127757972829752,15.835682681437094,0.060700000000000004,0.0668,3.730358359538784,0.5789473684210527,0.5808823529411762,5.890039515061238,16.8590255311797,15.835682681437092,15.835682681437092,93.27279674163537,62.89020682391398,30.382589917721397,False,硬池29
102900005116509,青茄子(1),茄类,18.727,6,112.362,76.51584,2.6752857142857143,True,5.01,True,False,1.3400692399475709,25.842539394754027,0.1503597006776504,3.885676488145604,0.0501,0.0668,4.085856784322101,0.4563106796116505,0.5808823529411762,5.950276870371992,4.090616368192024,3.8856764881456036,3.8856764881456036,23.120850933161055,16.713672640036418,6.4071782931246375,False,硬池29
102900005116714,西兰花,花菜类,87.904,7,1085.486,682.33336,12.557714285714283,True,9.26,True,False,1.3318613698900397,21.996704347622348,0.7771755947907734,17.09530178480019,0.0926,0.1551,7.762256097560976,0.6107382550335569,0.4563106796116505,12.502962841708953,18.839874129160446,17.09530178480019,17.09530178480019,213.7419229831575,146.23992783635694,67.50199514680057,False,硬池29
102900005116899,净藕(1),水生根茎类,42.184,7,603.976,452.86776,6.026285714285714,True,5.54,True,False,1.520755066700762,22.681503621663072,0.4612945203232473,10.462853333365063,0.0554,0.1365,10.735533851697326,0.5037593984962405,0.5051740357478833,16.1436599273644,11.076490930939087,10.462853333365063,10.462853333365063,168.9087460837366,118.912043347115,49.996702736621586,False,硬池29
102900005118824,高瓜(1),水生根茎类,21.031,7,278.7216,242.92651,3.0044285714285714,True,29.25,True,False,1.2059983051471943,22.681503621663072,0.22998020711450345,5.216296900578434,0.2925,0.1365,11.550877751890068,0.37339055793991416,0.5051740357478833,15.863866440364042,7.372857810004853,5.216296900578434,5.216296900578434,82.75063734406119,85.16297924543399,-2.4123419013727982,False,硬池29
