日期,星期,品类,实际,WD90,WIN7,YOY,BLEND
2023-04-01,5,花叶类,208.377,254.75781818181815,190.34914285714288,130.262,234.74402303283983
2023-04-01,5,花菜类,35.079,40.676545454545455,29.01442857142857,25.701,30.763922340847
2023-04-01,5,水生根茎类,26.836,60.60763636363636,22.777000000000005,25.437,30.300111294572353
2023-04-01,5,茄类,23.388,20.701181818181823,16.366142857142858,16.697,20.559338790522414
2023-04-01,5,辣椒类,154.887,181.91818181818178,127.13385714285712,80.48,161.5048320978635
2023-04-01,5,食用菌,101.324,134.3750909090909,91.58328571428571,19.915,111.34834948451497
2023-04-02,6,花叶类,185.985,241.44625000000005,183.84542857142856,133.168,216.30332691317392
2023-04-02,6,花菜类,39.362,43.10908333333333,29.96014285714286,26.163,33.708832476998985
2023-04-02,6,水生根茎类,27.876,51.16450000000001,20.785571428571433,34.452,23.726953305111444
2023-04-02,6,茄类,20.488,18.7275,16.512428571428572,18.016000000000002,18.56965534017126
2023-04-02,6,辣椒类,165.351,151.47425,122.51471428571426,71.349,129.7900994823837
2023-04-02,6,食用菌,109.447,113.96741666666667,90.02999999999999,30.03,93.38406971807657
2023-04-03,0,花叶类,170.821,181.44725000000003,172.69428571428574,111.538,153.54876366702865
2023-04-03,0,花菜类,16.457,32.438583333333334,28.629714285714282,16.438,24.216080671872685
2023-04-03,0,水生根茎类,29.721,29.612750000000002,20.475428571428573,42.998,13.617991958754866
2023-04-03,0,茄类,19.201,13.806083333333333,16.561714285714285,23.887,13.706035939912619
2023-04-03,0,辣椒类,114.41,104.3775,120.49942857142857,96.131,87.88900478294342
2023-04-03,0,食用菌,93.459,89.73075,88.49057142857143,46.766,72.44151032679981
2023-04-04,1,花叶类,169.641,164.52375,175.75999999999996,148.726,142.05217359074558
2023-04-04,1,花菜类,20.022,33.722166666666666,28.057999999999996,22.224,24.774638038588858
2023-04-04,1,水生根茎类,14.977,35.34341666666667,22.516142857142857,31.759,17.9689287713635
2023-04-04,1,茄类,20.162,14.162500000000003,17.559571428571427,23.387,14.752149719653275
2023-04-04,1,辣椒类,121.552,116.22983333333333,121.81357142857142,107.732,99.04309018917806
2023-04-04,1,食用菌,90.507,79.56416666666667,91.18842857142856,40.745,66.14563003393947
2023-04-05,2,花叶类,217.271,173.76866666666663,179.14085714285716,146.419,152.93952985711502
2023-04-05,2,花菜类,45.417,36.977666666666664,28.272714285714283,21.248,27.437376713871647
2023-04-05,2,水生根茎类,24.199,38.537499999999994,22.539142857142856,21.71,19.78314771600154
2023-04-05,2,茄类,22.225,14.527416666666667,18.22771428571429,15.356,15.539907796841174
2023-04-05,2,辣椒类,139.304,120.56599999999999,125.97900000000001,38.664,106.26704186419093
2023-04-05,2,食用菌,115.412,98.19616666666667,92.7242857142857,31.476,82.99318630166415
2023-04-06,3,花叶类,136.403,197.22916666666666,191.54028571428574,109.94500000000001,185.2838211789969
2023-04-06,3,花菜类,23.05,39.133833333333335,30.98085714285714,17.497,31.63477883822466
2023-04-06,3,水生根茎类,9.889,42.713249999999995,22.70342857142857,5.855,22.13474193667047
2023-04-06,3,茄类,12.387,17.024,20.178857142857144,11.695,19.94424697333719
2023-04-06,3,辣椒类,109.473,141.44766666666666,131.41714285714286,38.127,129.74118740791462
2023-04-06,3,食用菌,73.004,114.66924999999999,96.91000000000001,20.492,101.14478669669718
2023-04-07,4,花叶类,131.267,223.98299999999998,185.3414285714286,85.201,204.35651510525156
2023-04-07,4,花菜类,31.899,46.29283333333334,30.570142857142855,10.494,36.969146908191696
2023-04-07,4,水生根茎类,16.629,56.727250000000005,22.237000000000002,6.533,29.16545306012731
2023-04-07,4,茄类,9.746,21.180333333333333,19.855,14.479,24.324241099726308
2023-04-07,4,辣椒类,97.645,194.91166666666666,134.74014285714284,28.799,183.2622373559648
2023-04-07,4,食用菌,88.025,143.44833333333335,98.27114285714286,14.881,128.8612650128608
2023-04-08,5,花叶类,183.926,256.6717272727272,174.25214285714284,87.65,220.85423693031916
2023-04-08,5,花菜类,35.691,41.62863636363636,30.183714285714284,10.629,32.754003290729095
2023-04-08,5,水生根茎类,20.73,58.18145454545454,21.446714285714286,6.366,29.129216164624893
2023-04-08,5,茄类,19.815,21.782000000000004,18.228142857142856,12.371,22.99174094490787
2023-04-08,5,辣椒类,137.92,185.7888181818182,128.946,36.973,167.36523076348573
2023-04-08,5,食用菌,128.855,133.7648181818182,95.88257142857142,18.886,117.4832713392894
2023-04-09,6,花叶类,197.616,238.66400000000002,170.75914285714285,141.102,201.6394023377159
2023-04-09,6,花菜类,30.536,43.51983333333334,30.27114285714286,15.591,34.3285589344254
2023-04-09,6,水生根茎类,30.084,48.75516666666667,20.57442857142857,11.218,23.640624786631424
2023-04-09,6,茄类,15.846,19.172,17.717714285714283,27.258,19.61063827425981
2023-04-09,6,辣椒类,136.063,154.83825000000002,126.52214285714284,133.106,136.72306424188343
2023-04-09,6,食用菌,83.908,113.42966666666666,99.81557142857143,35.619,103.57161069102531
2023-04-10,0,花叶类,123.411,180.21691666666663,172.42071428571427,184.591,153.63817608992784
2023-04-10,0,花菜类,18.365,31.198249999999998,29.010285714285715,7.757000000000001,23.589793733624983
2023-04-10,0,水生根茎类,17.868,28.759583333333335,20.889857142857146,18.379,14.195990926311419
2023-04-10,0,茄类,12.818,14.438916666666666,17.05457142857143,24.485,14.177494297432332
2023-04-10,0,辣椒类,73.788,106.45550000000001,122.33814285714286,113.881,90.56142394458476
