日期,品类,BLEND需求,YOY需求,补货_按BLEND,售出,缺货,剩余可售,收益_YOY情景
2023-07-01,花叶类,161.35593638883972,149.719,185.10489433158165,149.719,0.0,11.636936388839729,144.20614027849035
2023-07-01,花菜类,21.996704347622348,28.897,26.03468380592064,21.996704347622348,6.90029565237765,0.0,48.19366005315362
2023-07-01,水生根茎类,22.681503621663072,15.086,26.266941078938128,15.086,0.0,7.595503621663072,-44.586071220577196
2023-07-01,茄类,25.842539394754027,17.165,27.692391121682412,17.165,0.0,8.677539394754028,-2.509790733481566
2023-07-01,辣椒类,109.00611782623076,25.326,120.10369967632302,25.326,0.0,83.68011782623077,-275.4057365513954
2023-07-01,食用菌,65.55278941198159,50.953,72.39402475094599,50.953,0.0,14.59978941198159,21.633475415347277
2023-07-02,花叶类,156.84733869549763,195.295,179.9327047097598,156.84733869549763,38.44766130450236,0.0,198.40881459538298
2023-07-02,花菜类,21.3901200940345,55.851,25.316747655384663,21.3901200940345,34.4608799059655,0.0,46.86466481600263
2023-07-02,水生根茎类,20.38080667186327,28.667,23.602555497235983,20.38080667186327,8.286193328136733,0.0,88.60019975566934
2023-07-02,茄类,26.90132899083344,27.475,28.82697062883995,26.90132899083344,0.57367100916656,0.0,61.785251279592416
2023-07-02,辣椒类,104.1199884450106,55.999,114.72012829992354,55.999,0.0,48.1209884450106,-94.46031709984476
2023-07-02,食用菌,56.92482328165564,45.704,62.86562482789138,45.704,0.0,11.22082328165564,26.876626499852392
2023-07-03,花叶类,108.80253361370283,188.672,124.81648917483403,108.80253361370283,79.86946638629716,0.0,137.6330762052565
2023-07-03,花菜类,12.804486281856624,47.944,15.155031698256154,12.804486281856624,35.13951371814338,0.0,28.053977962829208
2023-07-03,水生根茎类,13.89139360376788,63.873000000000005,16.08731164304329,13.89139360376788,49.981606396232124,0.0,60.38918223377368
2023-07-03,茄类,17.687411814168257,42.368,18.95350601603971,17.687411814168257,24.680588185831745,0.0,40.62331581448608
2023-07-03,辣椒类,67.43062526744286,58.67,74.29553246743374,58.67,0.0,8.760625267442862,57.57672322891045
2023-07-03,食用菌,36.37301795740808,42.18,40.16898725279744,36.37301795740808,5.806982042591919,0.0,56.97582375012345
2023-07-04,花叶类,120.60720361442336,116.605,138.35861375980653,116.605,0.0,4.002203614423351,131.96274780681802
2023-07-04,花菜类,13.0117622219338,27.955,15.400357701424785,13.0117622219338,14.943237778066198,0.0,28.50810900152534
2023-07-04,水生根茎类,13.022312182298167,20.219,15.08084792391218,13.022312182298167,7.196687817701834,0.0,56.611079198604756
2023-07-04,茄类,15.680713066353537,17.802,16.803164451729035,15.680713066353537,2.121286933646463,0.0,36.01445851905568
2023-07-04,辣椒类,65.95777227146975,47.458,72.67273278037655,47.458,0.0,18.49977227146975,3.682154747700963
2023-07-04,食用菌,36.65596424507458,36.688,40.481462446244706,36.65596424507458,0.03203575492542399,0.0,57.419039593134215
2023-07-05,花叶类,115.60927229608969,133.21,132.62506859709725,115.60927229608969,17.600727703910323,0.0,146.2434674587211
2023-07-05,花菜类,14.70787068846105,42.64,17.407824225897798,14.70787068846105,27.93212931153895,0.0,32.22419635521683
2023-07-05,水生根茎类,14.056544653874248,34.508,16.278569373334392,14.056544653874246,20.451455346125755,0.0,61.10713301289974
2023-07-05,茄类,15.557403391470627,17.524,16.671028066299428,15.557403391470627,1.9665966085293736,0.0,35.73124874713544
2023-07-05,辣椒类,65.32837304947677,49.728,71.97925633481354,49.728,0.0,15.600373049476765,18.079659109938405
2023-07-05,食用菌,38.72291168770878,50.367,42.764121134962764,38.72291168770878,11.644088312291217,0.0,60.65677019140887
2023-07-06,花叶类,98.08005655155952,164.461,112.51583865040669,98.08005655155952,66.38094344844049,0.0,124.06935251622264
2023-07-06,花菜类,14.09300874396115,31.186,16.68009083200515,14.09300874396115,17.09299125603885,0.0,30.877065118438964
2023-07-06,水生根茎类,14.993013459293469,39.018,17.363072911746926,14.993013459293469,24.024986540706532,0.0,65.17818498650209
2023-07-06,茄类,14.279335616755978,9.038,15.301474085679358,9.038,0.0,5.241335616755977,-4.570283664698863
2023-07-06,辣椒类,63.63395701094701,51.119,70.11233694463091,51.119,0.0,12.514957010947015,31.82034804020637
2023-07-06,食用菌,34.26475121838083,32.226,37.84069709373919,32.226,0.0,2.038751218380831,42.355281498514074
2023-07-07,花叶类,115.4340495511166,134.044,132.42405592648456,115.43404955111659,18.609950448883424,0.0,146.0218141147153
2023-07-07,花菜类,15.55216773678281,50.962,18.407110589161807,15.55216773678281,35.4098322632172,0.0,34.07400823101713
2023-07-07,水生根茎类,18.138717294620573,43.066,21.00604203198677,18.138717294620573,24.92728270537943,0.0,78.85330553837548
2023-07-07,茄类,17.592452074711126,14.602,18.85174890131925,14.602,0.0,2.9904520747111256,19.085905243918504
2023-07-07,辣椒类,70.02330706111047,39.874,77.152167321629,39.874,0.0,30.14930706111047,-51.795444826366776
2023-07-07,食用菌,42.51760511959122,29.189,46.95483723864298,29.189,0.0,13.328605119591217,-7.392596963318994
