日期,品类,净销量_kg,销售额_元,打折销量_kg,均价_元每kg,星期
2020-07-01,花叶类,205.40199999999973,1503.7895999999978,13.684999999999999,7.321202325196443,2
2020-07-01,花菜类,46.64000000000003,592.5299999999994,0.0,12.704331046312157,2
2020-07-01,水生根茎类,4.8500000000000005,70.2838,0.0,14.491505154639173,2
2020-07-01,茄类,35.373999999999995,176.818,0.0,4.998529993780744,2
2020-07-01,辣椒类,76.71500000000003,759.9901999999998,0.0,9.906670142736095,2
2020-07-01,食用菌,35.36500000000001,368.60200000000003,0.195,10.422790894952636,2
2020-07-02,花叶类,198.36199999999985,1409.664699999999,19.362000000000005,7.106525947510107,3
2020-07-02,花菜类,43.943000000000005,546.0320000000003,0.0,12.425915390392104,3
2020-07-02,水生根茎类,4.6,53.1208,0.0,11.548000000000002,3
2020-07-02,茄类,32.199,172.09199999999996,0.0,5.344638032237025,3
2020-07-02,辣椒类,66.06399999999998,669.7044,0.0,10.137206345362076,3
2020-07-02,食用菌,48.51000000000002,605.929,0.0,12.490806019377443,3
2020-07-03,花叶类,190.77899999999997,1399.5064999999993,6.832000000000001,7.335747121014365,4
2020-07-03,花菜类,42.07599999999999,495.36800000000005,0.0,11.77317235478658,4
2020-07-03,水生根茎类,9.572,76.69300000000003,5.162000000000001,8.012223150856668,4
2020-07-03,茄类,35.89600000000002,196.24300000000002,0.0,5.466987965232892,4
2020-07-03,辣椒类,64.25299999999999,670.6645999999997,0.0,10.437872161611129,4
2020-07-03,食用菌,42.44199999999994,546.2949999999997,0.0,12.871565901701157,4
2020-07-04,花叶类,236.5869999999997,1841.3999999999978,2.0140000000000002,7.783183353269623,5
2020-07-04,花菜类,55.662,702.1859999999998,0.0,12.61517732025439,5
2020-07-04,水生根茎类,5.439,118.75319999999999,0.0,21.833645890788745,5
2020-07-04,茄类,57.06699999999999,327.40299999999985,0.0,5.737168591304956,5
2020-07-04,辣椒类,81.28199999999997,826.4166000000007,0.444,10.167276887871866,5
2020-07-04,食用菌,47.26199999999998,578.7036,0.43800000000000006,12.244585502094713,5
2020-07-05,花叶类,223.899,1573.1792999999955,4.253,7.0262899789637085,6
2020-07-05,花菜类,55.47400000000002,697.9820000000001,0.0,12.582146591195873,6
2020-07-05,水生根茎类,4.019,40.19,0.0,10.0,6
2020-07-05,茄类,61.81600000000001,411.3631000000003,0.874,6.65463795781028,6
2020-07-05,辣椒类,98.496,1016.2366000000005,0.465,10.317541829109818,6
2020-07-05,食用菌,73.21300000000004,732.6237999999996,0.0,10.006744703809423,6
2020-07-06,花叶类,195.73999999999992,1511.596799999997,12.301000000000002,7.722472667824653,0
2020-07-06,花菜类,42.721,506.3038,0.444,11.851403291121464,0
2020-07-06,水生根茎类,3.0890000000000004,30.7757,0.381,9.962997733894463,0
2020-07-06,茄类,30.727000000000015,201.412,0.0,6.554886581833563,0
2020-07-06,辣椒类,58.68200000000003,645.2907999999998,0.0,10.996400940663227,0
2020-07-06,食用菌,40.57799999999998,487.603,1.0,12.016437478436597,0
2020-07-07,花叶类,172.05200000000005,1328.4089999999971,15.176999999999998,7.720973891614144,1
2020-07-07,花菜类,45.74900000000001,526.9909999999998,0.0,11.519180747120148,1
2020-07-07,水生根茎类,3.1170000000000004,31.169999999999998,0.0,9.999999999999998,1
2020-07-07,茄类,32.112,186.84799999999998,0.0,5.818634778276033,1
2020-07-07,辣椒类,42.21300000000003,531.0704000000001,0.0,12.58073105441451,1
2020-07-07,食用菌,52.55999999999996,622.3338999999997,1.441,11.840447108066975,1
2020-07-08,花叶类,152.5699999999999,1210.4449999999981,15.216000000000001,7.933702562758071,2
2020-07-08,花菜类,45.433,532.1020000000001,0.0,11.711795391015343,2
2020-07-08,水生根茎类,10.605,155.48399999999998,0.0,14.661386138613858,2
2020-07-08,茄类,39.66999999999999,232.2832,0.576,5.8553869422737606,2
2020-07-08,辣椒类,65.88000000000002,768.0609999999992,2.647,11.658485124468715,2
2020-07-08,食用菌,43.96800000000001,565.4191999999999,0.0,12.85978893740902,2
2020-07-09,花叶类,187.43900000000016,1395.7573999999988,0.288,7.446462048986591,3
2020-07-09,花菜类,41.13099999999999,496.2039999999999,0.0,12.063990663976076,3
2020-07-09,水生根茎类,2.1060000000000003,21.060000000000002,0.0,10.0,3
2020-07-09,茄类,25.921,205.51999999999995,0.0,7.928706454226301,3
2020-07-09,辣椒类,58.859999999999985,615.3549999999997,0.0,10.454553177030238,3
2020-07-09,食用菌,37.837,464.1237999999999,0.0,12.266400613156431,3
2020-07-10,花叶类,179.8329999999999,1305.5265999999983,24.869,7.259660907619842,4
2020-07-10,花菜类,62.34400000000001,659.9567999999998,5.177,10.585730784036953,4
2020-07-10,水生根茎类,9.025,128.7304,0.244,14.26375623268698,4
2020-07-10,茄类,37.85999999999999,268.3507000000001,3.6979999999999995,7.087974115161123,4
2020-07-10,辣椒类,58.93600000000002,714.7903,2.2699999999999996,12.128245893850952,4
2020-07-10,食用菌,41.428999999999995,470.81010000000015,4.398999999999999,11.364264162784528,4
2020-07-11,花叶类,270.34299999999985,2100.112699999997,32.208999999999996,7.768326533329874,5
2020-07-11,花菜类,76.56400000000004,784.2707000000001,7.188,10.243334987722687,5
2020-07-11,水生根茎类,8.928000000000003,132.12330000000003,1.522,14.798756720430106,5
2020-07-11,茄类,68.277,405.2063999999999,7.954000000000001,5.934742299749549,5
2020-07-11,辣椒类,85.936,1060.3597999999997,8.482999999999999,12.338947588903366,5
2020-07-11,食用菌,52.23799999999994,700.3147999999997,3.681,13.40623301045217,5
2020-07-12,花叶类,300.1889999999998,2195.992199999997,28.834,7.315365319848491,6
2020-07-12,花菜类,71.61500000000004,777.0745000000001,7.611,10.850722613977513,6
2020-07-12,水生根茎类,13.994000000000002,247.96040000000002,1.369,17.719051021866512,6
2020-07-12,茄类,81.70599999999999,582.6195000000001,8.576,7.1306819572614035,6
2020-07-12,辣椒类,72.16800000000003,852.3497,6.286000000000002,11.81063213612681,6
2020-07-12,食用菌,55.95999999999998,678.7290999999999,5.186000000000001,12.128825947105078,6
2020-07-13,花叶类,190.83199999999985,1422.2043999999971,19.911,7.452651546910362,0
2020-07-13,花菜类,32.028,315.37620000000004,2.807,9.846890221056578,0
