日期,品类,净销量_kg,加权均售价,加权均批发价,加成率,星期
2023-04-02,花叶类,185.98499999999999,5.324963841169989,3.542173723687395,0.5033039756239606,6
2023-04-02,花菜类,39.36200000000001,10.72192977999085,8.20153193435293,0.3073081792294173,6
2023-04-02,水生根茎类,27.875999999999998,8.3173626058258,5.058753049217965,0.6441527239823625,6
2023-04-02,茄类,20.488,8.929324482623974,5.8461099180007805,0.5273959278681462,6
2023-04-02,辣椒类,165.35099999999997,6.13810741997327,4.35369789115276,0.40986066866206905,6
2023-04-02,食用菌,109.447,6.125905689511819,4.104138258700559,0.49261679392140817,6
2023-04-03,花叶类,170.821,5.293461576738225,3.14628763442434,0.6824468045518485,0
2023-04-03,花菜类,16.457,10.745245184420002,8.020069271434647,0.339794560464921,0
2023-04-03,水生根茎类,29.721,11.820887587900812,7.18339490595875,0.64558509488253,0
2023-04-03,茄类,19.201,8.528514139888546,5.424310712983699,0.5722761086444748,0
2023-04-03,辣椒类,114.41,5.435336072021676,3.8464457652303117,0.4130801274137365,0
2023-04-03,食用菌,93.459,5.934638718582481,4.053420751345509,0.4641062654580116,0
2023-04-04,花叶类,169.641,5.017684404124004,2.982213203176119,0.6825371166555315,1
2023-04-04,花菜类,20.022,10.584796723604033,8.45757366896414,0.2515169406618281,1
2023-04-04,水生根茎类,14.977,8.315857648394203,5.033684983641584,0.6520417299491305,1
2023-04-04,茄类,20.162,8.679496081737922,5.43828191647654,0.595999658539468,1
2023-04-04,辣椒类,121.55199999999999,5.560989535342898,3.9345912860339607,0.41335888052259045,1
2023-04-04,食用菌,90.50699999999999,6.624042339266577,4.480846343376756,0.4783016045747092,1
2023-04-05,花叶类,217.27100000000002,4.625836858117283,2.6678222588380405,0.7339374251011939,2
2023-04-05,花菜类,45.417,10.319239491820245,9.057117378955017,0.1393514139275567,2
2023-04-05,水生根茎类,24.199,7.487251539319806,4.404973346006034,0.6997268657955577,2
2023-04-05,茄类,22.225,8.594105736782902,5.501635095613048,0.5621002824479873,2
2023-04-05,辣椒类,139.304,5.746950554183655,3.99083630046517,0.44003665435081707,2
2023-04-05,食用菌,115.412,6.036512667660207,4.043945690222855,0.49272842171318715,2
2023-04-06,花叶类,136.403,4.641484424829366,2.8196074866388567,0.6461455882862251,3
2023-04-06,花菜类,23.049999999999997,12.331349240780911,8.58647982646421,0.4361355864104773,3
2023-04-06,水生根茎类,9.889000000000001,14.260208312266155,8.19766407119021,0.7395453373580029,3
2023-04-06,茄类,12.387,8.444498264309356,5.4564930976023245,0.5476054149175066,3
2023-04-06,辣椒类,109.473,5.970993761018699,4.0255477606350425,0.48327485253255476,3
2023-04-06,食用菌,73.00399999999999,6.303076543751028,4.367203440907349,0.44327522842431955,3
2023-04-07,花叶类,131.26700000000002,4.122481659518387,2.659274074976955,0.5502281988569051,4
2023-04-07,花菜类,31.898999999999997,11.84472867488009,7.961951471832972,0.48766652456790704,4
2023-04-07,水生根茎类,16.628999999999998,11.695688255457334,7.1395922785495225,0.6381451207790015,4
2023-04-07,茄类,9.746,8.26103016622204,5.32446747383542,0.5515223272218246,4
2023-04-07,辣椒类,97.64500000000001,5.866538993292027,4.037818116647038,0.45289827917349057,4
2023-04-07,食用菌,88.025,6.170315251349048,4.33622948026129,0.4229678755325562,4
2023-04-08,花叶类,183.92600000000004,4.70093080912976,2.9934072942378984,0.570428059749412,5
2023-04-08,花菜类,35.691,11.453733434199096,7.8441298926900345,0.46016621230008703,5
2023-04-08,水生根茎类,20.729999999999997,9.751693198263387,5.760003859141342,0.6930011570716371,5
2023-04-08,茄类,19.815,8.414433509967198,5.433879888973,0.5485129745032918,5
2023-04-08,辣椒类,137.92000000000002,5.716669083526682,4.027971722737819,0.4192426057154773,5
2023-04-08,食用菌,128.85500000000002,6.235110783438749,4.268562337511156,0.4607051017261742,5
2023-04-09,花叶类,197.61599999999999,4.336036555744475,2.8746513946239176,0.5083695239894459,6
2023-04-09,花菜类,30.535999999999998,10.519992795389049,7.710400838354728,0.36438986972742676,6
2023-04-09,水生根茎类,30.084000000000003,11.61869432256349,7.031907990958647,0.6522819037880407,6
2023-04-09,茄类,15.846,9.114224409945727,6.31639025621608,0.4429482727062733,6
2023-04-09,辣椒类,136.063,6.2565752629296725,4.276118562724621,0.46314354271392344,6
2023-04-09,食用菌,83.908,6.278319111407732,4.376002526576727,0.4347156047734632,6
2023-04-10,花叶类,123.41100000000002,4.11696526241583,2.779028773772191,0.48144031514562335,0
2023-04-10,花菜类,18.365,10.115246392594608,7.579285597604137,0.3345910062806058,0
2023-04-10,水生根茎类,17.868,10.6986344302664,6.1617433400492505,0.7362999138131721,0
2023-04-10,茄类,12.818,9.098455297238258,6.269589639569355,0.45120427656302126,0
2023-04-10,辣椒类,73.788,6.042838944001734,4.33009107171898,0.39554546172693317,0
2023-04-10,食用菌,51.772999999999996,5.876333223881174,4.258875861935759,0.37978504525141116,0
2023-04-11,花叶类,158.881,3.9820091766794024,2.7163578401445103,0.4659368945542018,1
2023-04-11,花菜类,15.788,9.873961236382062,7.5379940461109705,0.3098924164680486,1
2023-04-11,水生根茎类,7.577,8.89351986274251,5.912361092780785,0.5042247459482527,1
